,mean_acc,std_acc
binned_uniform_from_0_to_0,0.31089999675750735,0.006955573218534595
binned_uniform_from_0_to_6,0.2945800006389618,0.02185172204475913
binned_uniform_from_0_to_12,0.2757199972867966,0.023560849638221876
binned_uniform_from_0_to_18,0.25672000348567964,0.02548791567244945
binned_uniform_from_0_to_25,0.2479400008916855,0.03354219097833313
binned_uniform_from_0_to_31,0.2386400043964386,0.03306179933166268
binned_uniform_from_0_to_37,0.218259996175766,0.03046765662267583
binned_uniform_from_0_to_43,0.21194000244140626,0.03511071457365501
binned_uniform_from_0_to_50,0.2020000010728836,0.03396893328412187
binned_uniform_from_0_to_56,0.17980000078678132,0.023538985197946755
binned_uniform_from_0_to_62,0.1515199989080429,0.023105791603649097
binned_uniform_from_0_to_68,0.1430400013923645,0.01664411216249022
binned_uniform_from_0_to_75,0.13572000116109847,0.018227714292702875
binned_uniform_from_0_to_81,0.1157600000500679,0.004518671894227355
binned_uniform_from_0_to_87,0.10899999886751174,0.00767776046834684
binned_uniform_from_0_to_93,0.10116000026464463,0.0023703148409411363
binned_uniform_from_0_to_100,0.10000000149011612,0.0
