,mean_acc,mean_AUC,mean_F1,std_acc,std_AUC,std_F1
constant_15ms,0.31579999923706054,0.7594470262527466,0.29995877146720884,0.004829908746096411,0.0027092334979110138,0.011665925528158866
constant_30ms,0.3168000042438507,0.7566128849983216,0.3059031069278717,0.006662732864090242,0.0044328118653349045,0.012734806891097164
constant_45ms,0.3150200009346008,0.753375518321991,0.29577034115791323,0.006272605385480304,0.00693267323270706,0.013267847608659612
constant_60ms,0.31013999581336976,0.7463165283203125,0.3002152740955353,0.006092152696684215,0.008915106831340678,0.010707321124119748
constant_75ms,0.31354000568389895,0.7537560105323792,0.3026321053504944,0.009870686573568791,0.006622171143197315,0.01444627200591567
constant_90ms,0.3142800033092499,0.7517417073249817,0.2998786211013794,0.008503972626522468,0.007224491186043998,0.01554038274882886
constant_180ms,0.3023200035095215,0.7279594421386719,0.2803307414054871,0.010138123213875612,0.01909788589157297,0.013608606539242965
constant_285ms,0.3100600004196167,0.7511031627655029,0.29536445140838624,0.007031527719914341,0.004011151378090292,0.010510087726850761
constant_390ms,0.3035199999809265,0.7400241136550904,0.2829255998134613,0.011830706840514784,0.01741209439858778,0.020912115153904537
constant_480ms,0.30985999703407285,0.7266923308372497,0.290370574593544,0.01040933709462754,0.03182708117722235,0.02286383738959533
