,mean_acc,std_acc
binned_uniform_from_0_to_0,0.7547800064086914,0.001955909429916976
binned_uniform_from_0_to_6,0.7538000106811523,0.0022063483137234816
binned_uniform_from_0_to_12,0.7507799983024597,0.00602973303996831
binned_uniform_from_0_to_18,0.7395599961280823,0.006862539542515339
binned_uniform_from_0_to_25,0.7135800004005433,0.017387728496583245
binned_uniform_from_0_to_31,0.6935000061988831,0.029191576536239824
binned_uniform_from_0_to_37,0.6913600087165832,0.015911830603159177
binned_uniform_from_0_to_43,0.6669999957084656,0.03365601004756455
binned_uniform_from_0_to_50,0.6239399909973145,0.061568715752163626
binned_uniform_from_0_to_56,0.5757799983024597,0.041805755887410714
binned_uniform_from_0_to_62,0.5087599873542785,0.08245042871571814
binned_uniform_from_0_to_68,0.4607200026512146,0.07900979141890627
binned_uniform_from_0_to_75,0.4398799955844879,0.038430847500994555
binned_uniform_from_0_to_81,0.31354000270366666,0.06235442449691706
binned_uniform_from_0_to_87,0.25801999866962433,0.11363649590621697
binned_uniform_from_0_to_93,0.15429999828338622,0.06262967262243341
binned_uniform_from_0_to_100,0.10000000149011612,0.0
