,mean_acc,mean_AUC,mean_F1,std_acc,std_AUC,std_F1
constant_15ms,0.7431800127029419,0.9630810379981994,0.7390151619911194,0.006266536306619116,0.0008430121025621492,0.007377582218380617
constant_30ms,0.749180006980896,0.9663735628128052,0.7470991134643554,0.002200350793853075,0.0005822931702874916,0.002504011016640492
constant_45ms,0.7531399965286255,0.9665494441986084,0.7503936886787415,0.0029506587333768025,0.0008491592158399485,0.0014494074919492368
constant_60ms,0.7505800008773804,0.9669579148292542,0.7477237820625305,0.0041208763663817425,0.0010401440043174268,0.0033178621016984296
constant_75ms,0.7539800047874451,0.9671925067901611,0.7508641958236695,0.0023760535934249736,0.0005242926423456631,0.0021269645795079723
constant_90ms,0.7525799989700317,0.9672591805458068,0.7519436717033386,0.0037864962343252934,0.0004396889188596298,0.0021354006194262477
constant_180ms,0.7540399909019471,0.9684348583221436,0.7533023953437805,0.0024450825332381926,0.0006012664083629795,0.0014619259071288581
constant_285ms,0.7581799983978271,0.9684221148490906,0.755612051486969,0.0027462017077783084,0.00024193029998921184,0.0027027020733069464
constant_390ms,0.7563400030136108,0.9680854916572571,0.7526240944862366,0.0036653013544693793,0.0010655888250784482,0.004458473317527232
constant_480ms,0.7567999958992004,0.9688388586044312,0.7543523669242859,0.003837721670039468,0.0007065026293701812,0.0038813510171152137
