,mean_acc,std_acc
binned_uniform_from_0_to_0,0.7349799990653991,0.0024717572538604095
binned_uniform_from_0_to_6,0.7352599859237671,0.0018358602174026587
binned_uniform_from_0_to_12,0.7308600068092346,0.003929175921941451
binned_uniform_from_0_to_18,0.7313799977302551,0.003061621716247514
binned_uniform_from_0_to_25,0.7216999888420105,0.006290614574915793
binned_uniform_from_0_to_31,0.7019199967384339,0.01193856987081322
binned_uniform_from_0_to_37,0.6794400095939637,0.01400965735758446
binned_uniform_from_0_to_43,0.6486999988555908,0.016769498978942542
binned_uniform_from_0_to_50,0.6185200095176697,0.02766024498124913
binned_uniform_from_0_to_56,0.5922399997711182,0.036505279425525256
binned_uniform_from_0_to_62,0.5544799983501434,0.07312939566268349
binned_uniform_from_0_to_68,0.512500011920929,0.0908695969473003
binned_uniform_from_0_to_75,0.448199999332428,0.05098143813201231
binned_uniform_from_0_to_81,0.38055999875068663,0.035677087533013276
binned_uniform_from_0_to_87,0.27314000129699706,0.07206945709623083
binned_uniform_from_0_to_93,0.21090000122785568,0.06480336239591146
binned_uniform_from_0_to_100,0.10000000149011612,0.0
