,mean_acc,std_acc
binned_uniform_from_0_to_0,0.7366799950599671,0.00418922765942396
binned_uniform_from_0_to_6,0.6998999953269959,0.016439939508707556
binned_uniform_from_0_to_12,0.6689599990844727,0.0343441182388673
binned_uniform_from_0_to_18,0.6483999967575074,0.02772406064354261
binned_uniform_from_0_to_25,0.6346399903297424,0.046320617310584636
binned_uniform_from_0_to_31,0.5946599960327148,0.04828136010739277
binned_uniform_from_0_to_37,0.4940400004386902,0.054658733672602614
binned_uniform_from_0_to_43,0.4415600061416626,0.03885180738493725
binned_uniform_from_0_to_50,0.4273200035095215,0.03835181533588345
binned_uniform_from_0_to_56,0.3553399980068207,0.04472263472488748
binned_uniform_from_0_to_62,0.2920799940824509,0.05353000750165577
binned_uniform_from_0_to_68,0.22279999852180482,0.027804243516267754
binned_uniform_from_0_to_75,0.1658399999141693,0.03606530437161516
binned_uniform_from_0_to_81,0.14891999810934067,0.029192764264725758
binned_uniform_from_0_to_87,0.13119999766349794,0.023941008339160786
binned_uniform_from_0_to_93,0.11043999940156937,0.00922726458250503
binned_uniform_from_0_to_100,0.10000000149011612,0.0
