,mean_acc,std_acc
binned_uniform_from_0_to_0,0.6512980699539185,0.0011764585436566082
binned_uniform_from_0_to_6,0.6421538472175599,0.0032494284879133225
binned_uniform_from_0_to_12,0.5918653845787049,0.02144682250273269
binned_uniform_from_0_to_18,0.527201920747757,0.01848595055271857
binned_uniform_from_0_to_25,0.4819807708263397,0.028106665172183767
binned_uniform_from_0_to_31,0.4555961489677429,0.03135274928158063
binned_uniform_from_0_to_37,0.4185288369655609,0.0365304222138318
binned_uniform_from_0_to_43,0.38481730222702026,0.03754476644884483
binned_uniform_from_0_to_50,0.34949039220809935,0.043458844796881065
binned_uniform_from_0_to_56,0.30811538398265836,0.059029538159999735
binned_uniform_from_0_to_62,0.29393269419670104,0.037608230963618566
binned_uniform_from_0_to_68,0.20408653914928437,0.027391007923595997
binned_uniform_from_0_to_75,0.15405769348144532,0.04092678459650094
binned_uniform_from_0_to_81,0.10888461619615555,0.03270580118022083
binned_uniform_from_0_to_87,0.09007692337036133,0.032405422045829496
binned_uniform_from_0_to_93,0.06732692271471023,0.019522323256012473
binned_uniform_from_0_to_100,0.03846153989434242,0.0
