,mean_acc,std_acc
binned_uniform_from_0_to_0,0.6493365406990051,0.0027650607859527596
binned_uniform_from_0_to_6,0.5717019200325012,0.03286172258605173
binned_uniform_from_0_to_12,0.47966345548629763,0.05505232712482284
binned_uniform_from_0_to_18,0.37715384364128113,0.05545766799402017
binned_uniform_from_0_to_25,0.3001057684421539,0.04462418653436107
binned_uniform_from_0_to_31,0.24026922583580018,0.03766841027845512
binned_uniform_from_0_to_37,0.18870191872119904,0.05165298042095787
binned_uniform_from_0_to_43,0.1219903826713562,0.030798400668314397
binned_uniform_from_0_to_50,0.10450000017881393,0.016951751158235866
binned_uniform_from_0_to_56,0.07932692468166351,0.008201195925999749
binned_uniform_from_0_to_62,0.07421153783798218,0.0054537635018543995
binned_uniform_from_0_to_68,0.0645000010728836,0.0036272569922251585
binned_uniform_from_0_to_75,0.05567307621240616,0.004990653229239302
binned_uniform_from_0_to_81,0.050615384429693225,0.008421309479133636
binned_uniform_from_0_to_87,0.04365384578704834,0.006624156429299553
binned_uniform_from_0_to_93,0.03833653852343559,0.00032265350627476517
binned_uniform_from_0_to_100,0.03846153989434242,0.0
