,mean_acc,mean_AUC,mean_F1,std_acc,std_AUC,std_F1
constant_15ms,0.6143846154212952,0.924710214138031,0.5878847241401672,0.004995126435046654,0.0008763420754997516,0.0049425324144437635
constant_30ms,0.6311923027038574,0.9311873197555542,0.6056638836860657,0.005483588558376194,0.0021567814745093047,0.005804026054203884
constant_45ms,0.6418749928474426,0.9364187717437744,0.6158197164535523,0.0033423832697230997,0.0013721641274187103,0.0040349839535640366
constant_60ms,0.6471730828285217,0.9386856079101562,0.6210681200027466,0.0022781378236502994,0.0017077559166431106,0.0016239628792117807
constant_75ms,0.6504326939582825,0.9402542471885681,0.6247486710548401,0.002866602497957651,0.0014941868904451519,0.003596786335355748
constant_90ms,0.6508269309997559,0.9407340884208679,0.6235776782035828,0.004779484042362493,0.001041793079547938,0.005106350055095827
constant_180ms,0.6475192308425903,0.9437616348266602,0.6206344127655029,0.0014444317517618478,0.0030014664363769345,0.0017539917209727165
constant_285ms,0.6446250081062317,0.9427461743354797,0.6185005068778991,0.003953598452794796,0.0032874519365357763,0.0042950574127862285
constant_390ms,0.648028838634491,0.9421715497970581,0.6219793438911438,0.004553571660534785,0.0032910870464896392,0.003871795468451187
constant_480ms,0.6444230794906616,0.9454384088516236,0.6189617872238159,0.00454462497483502,0.001363445153269409,0.004269972852427165
