,mean_acc,mean_AUC,mean_F1,std_acc,std_AUC,std_F1
constant_15ms,0.8281199932098389,0.972465968132019,0.8254632830619812,0.0029047502553011567,0.000511570374189304,0.0028219373396884233
constant_30ms,0.8347999930381775,0.9741265892982482,0.8324110984802247,0.002497187475150902,0.0007747868974393085,0.002011452170105475
constant_45ms,0.840779983997345,0.9757043480873108,0.8384346723556518,0.003817018315502251,0.0009460615537980641,0.0041595694455604845
constant_60ms,0.8464599967002868,0.9764476418495178,0.844378137588501,0.002421232383419392,0.000989592669218582,0.0025335558776780464
constant_75ms,0.8496600031852722,0.9773498892784118,0.8472648382186889,0.0027543442889248473,0.0006889883263257689,0.0027482689898527435
constant_90ms,0.8510999917984009,0.977587366104126,0.8489668130874634,0.0016745172164356159,0.0007172036633067492,0.001432986671918288
constant_180ms,0.8511799931526184,0.9776754021644593,0.8489156723022461,0.0043983590246306084,0.0006773197874052983,0.00475615999157112
constant_285ms,0.8576199889183045,0.9798025846481323,0.8553360223770141,0.002315503189813022,0.0004409276882692212,0.002341753910224657
constant_390ms,0.8541200041770936,0.9792653322219849,0.8519062757492065,0.002962028782470936,0.000456979683735996,0.003008077830684219
constant_480ms,0.8558599948883057,0.9797269463539123,0.8537609219551087,0.003367254677916796,0.00050109503923304,0.003473580135813835
