,mean_acc,std_acc
binned_uniform_from_0_to_0,0.7776399970054626,0.0013320651665377377
binned_uniform_from_0_to_6,0.77739999294281,0.002428998568656055
binned_uniform_from_0_to_12,0.7762800097465515,0.006194323837116726
binned_uniform_from_0_to_18,0.7605599999427796,0.006529203518822131
binned_uniform_from_0_to_25,0.741100013256073,0.020235617569765246
binned_uniform_from_0_to_31,0.715339994430542,0.02289956613174724
binned_uniform_from_0_to_37,0.6561800003051758,0.038854418998811556
binned_uniform_from_0_to_43,0.6017199993133545,0.09499192328509462
binned_uniform_from_0_to_50,0.5969999969005585,0.07870179528771139
binned_uniform_from_0_to_56,0.5201799988746643,0.07205835500923422
binned_uniform_from_0_to_62,0.47091999650001526,0.09282086412351255
binned_uniform_from_0_to_68,0.42785999178886414,0.09805652012210155
binned_uniform_from_0_to_75,0.34166000187397005,0.09480102008271613
binned_uniform_from_0_to_81,0.2973000019788742,0.08064616650344562
binned_uniform_from_0_to_87,0.19600000083446503,0.05367502199759757
binned_uniform_from_0_to_93,0.15599999725818633,0.026486070493600935
binned_uniform_from_0_to_100,0.11349999904632568,0.0
